Patient Information,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Screen,Unnamed: 6,Week 4,Unnamed: 8,Unnamed: 9,Week 8,Unnamed: 11,Unnamed: 12,Week 12,Unnamed: 14,Unnamed: 15,Week 16,Unnamed: 17,Unnamed: 18,Week 20,Unnamed: 20,Unnamed: 21,Week 24,Unnamed: 23,Unnamed: 24,Week 28,Unnamed: 26,Unnamed: 27,Week 32,Unnamed: 29,Unnamed: 30,Week 36,Unnamed: 32,Unnamed: 33,Week 40,Unnamed: 35,Unnamed: 36,Week 44,Unnamed: 38,Unnamed: 39,Week 48,Unnamed: 41,Unnamed: 42,Week 52,Unnamed: 44,Unnamed: 45,Week 60,Unnamed: 47,Unnamed: 48,Week 68,Unnamed: 50,Unnamed: 51,Week 76,Unnamed: 53,Unnamed: 54,Week 84,Unnamed: 56,Unnamed: 57,Week 92,Unnamed: 59,Unnamed: 60,Week 100,Unnamed: 62,Unnamed: 63,Week 104,Unnamed: 65,Unnamed: 66
Patient ID,,,Eye,Arm,DRSS Level,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index,DRSS Level,Change,Leakage Index
01-001,,,OS,2,53,1.59,53,0,0.28,47,1,0.21,47,1,0.15,43,2,0.15,43,2,0.6,43,2,0.14,43,2,1.89,43,2,0.13,43,2,1.49,43,2,0.21,43,2,1.12,43,2,0.3,47,1,0.86,Missed,,,53,0,1.26,53,0,1.31,47,1,0.98,47,1,1.24,47,1,1.5,43,2,2.3
01-002,,,OD,2,47,3.56,47,0,0.23,47,0,0.27,47,0,0.17,47,0,0.27,43,1,0.13,43,1,0.19,35,2,0.55,35,2,3.83,35,2,0.02,35,2,0.43,35,2,4.17,35,2,0.36,35,2,1.31,Dropped,,,,,,,,,,,,,,,,,,,,
01-013,,,OD,2,53,5.08,53,0,1.3,53,0,0.9,53,0,0.48,47,1,0.83,47,1,0.53,43,2,0.55,43,2,0.98,43,2,1.11,43,2,2.64,43,2,0.52,43,2,0.91,47,1,2.43,53,0,3.63,53,0,4.37,53,0,1.07,53,0,2.54,53,0,4,53,0,1.51,53,0,4.29,53,0,1.92
01-014,,,OS,2,53,2.34,53,0,0.68,53,0,0.37,43,2,0.32,43,2,0.86,Missed,,,43,2,4.21,43,2,2.66,43,2,2.36,43,2,2.5,43,2,0.52,43,2,1.23,43,2,6.19,47,1,1.59,43,2,4.76,43,2,4.34,47,1,2.79,43,2,1.86,43,2,1.6,43,2,1.48,43,2,1.49
01-023,,,OD,2,61,4.67,53,1,0.95,Missed,,,53,1,2.35,53,1,0.77,47,2,0.76,47,2,0.79,47,2,3.42,47,2,0.4,47,2,0.44,47,2,2.8,47,2,0.66,47,2,0.76,47,2,4.92,Missed,,,47,2,2.92,Missed,,,47,2,2.86,47,2,0.27,Deceased,,,,,
01-027,,,OS,2,61,6.26,53,1,0.42,53,1,0.6,53,1,0.33,53,1,0.3,53,1,0.2,47,2,0.22,47,2,0.54,47,2,1.97,53,1,2.64,53,1,2.97,53,1,3.24,47,2,0.64,47,2,1.22,47,2,2.94,47,2,2.76,53,1,2.99,53,1,2.41,53,1,3.16,53,1,2.43,53,1,1.77
01-028,,,OS,2,71,4.16,65,1,1.08,65,1,1.28,65,1,0.95,53,3,1.29,53,3,0.99,53,3,0.9,53,3,1.26,61,2,1.71,61,2,0.23,61,2,0.98,61,2,2.04,61,2,2.08,85,-3,3.02,71,0,2.19,65,1,0.17,61,2,1.59,61,2,0.41,61,2,1.57,Deceased,,,,,
01-035,,,OD,2,65,1.13,53,2,0.62,53,2,0.67,53,2,0.17,53,2,0.52,47,3,0.15,47,3,0.16,47,3,0.37,47,3,0.29,47,3,0.53,47,3,0.42,47,3,1.13,53,2,0.72,47,3,0.99,47,3,1.98,47,3,0.75,61,1,1.6,47,3,0.41,Missed,,,61,1,1.88,47,3,1.35
01-038,,,OS,2,53,6.42,53,0,0.41,53,0,0.15,53,0,0.28,53,0,0.17,43,2,0.12,43,2,0.04,43,2,0.11,43,2,0.07,43,2,1.53,47,1,2.86,47,1,5.11,47,1,0.64,47,1,0.8,43,2,1.14,47,1,5.39,47,1,0.62,47,1,1.08,53,0,4.52,43,2,0.12,43,2,0.99
